format,phase,pattern,iotype,block_size,qd,n,iops_mean,iops_stddev,mbps_mean,mbps_stddev,lat_p50_mean_us,lat_p50_stddev_us,lat_p99_mean_us,lat_p99_stddev_us,lat_max_mean_us,lat_max_stddev_us,cpu_pct_mean,cpu_pct_stddev
VHD-Dynamic,first_write,sequential,write,4096,1,5,318.226,11.7527,1.24307,0.0459089,124.08,6.17066,67936.5,4514.78,150845,41602.5,0.288562,0.0946848
VHD-Dynamic,hotspot,random,read,4096,32,5,83551.1,1464.8,326.372,5.72188,323.46,2.11849,1901.1,159.153,13649.6,20853.6,37.2461,3.99682
VHD-Dynamic,hotspot,random,read,65536,32,5,8286.51,52.5411,517.907,3.28382,3788.66,2.56768,5838.8,443.755,10721.1,1148.41,6.43249,1.84235
VHD-Dynamic,matrix,random,read,4096,1,5,9676.18,710.93,37.7976,2.77707,82.06,8.88808,239.44,80.9429,3848.36,1599.58,7.13695,1.37511
VHD-Dynamic,matrix,random,read,4096,32,5,84199.5,2495.88,328.904,9.74955,331.84,0.730068,1899.1,181.489,3775.94,976.228,32.0457,4.43384
VHD-Dynamic,matrix,random,read,65536,1,5,3772.84,288.185,235.802,18.0116,245.68,11.8489,508.04,211.344,2874.86,430.577,1.43668,1.02012
VHD-Dynamic,matrix,random,read,65536,32,5,8158.51,79.961,509.907,4.99756,3782.68,3.54641,7043.46,1628.53,11778.8,4298.66,8.10317,3.56061
VHD-Dynamic,matrix,random,read,1048576,1,5,460.587,8.64169,460.587,8.64169,2149.7,21.3202,2598.48,611.218,5375.26,2407.61,1.25848,0.902609
VHD-Dynamic,matrix,random,read,1048576,32,5,532.258,2.12568,532.258,2.12568,59830.8,79.6958,62258.8,2049.82,67355.7,875.121,1.1365,1.35978
VHD-Dynamic,matrix,random,write,4096,1,5,17748.6,1721.52,69.3307,6.7247,49.82,0.672309,152.6,48.1096,5408.5,4175.17,11.4124,1.652
VHD-Dynamic,matrix,random,write,4096,32,5,68837.8,9878.38,268.898,38.5874,392.26,0.801873,1074.58,234.849,56817.5,94765.1,32.3308,4.34883
VHD-Dynamic,matrix,random,write,65536,1,5,5417.2,485.536,338.575,30.346,168.86,6.84566,398.62,203.537,2728.04,1735.01,6.66517,2.05782
VHD-Dynamic,matrix,random,write,65536,32,5,5808.9,508.55,363.056,31.7844,5386.12,440.854,12865.3,7813.4,16928.6,6888.41,7.57144,1.60789
VHD-Dynamic,matrix,random,write,1048576,1,5,357.354,8.59242,357.354,8.59242,2510.28,101.484,8697.98,3245.13,57284.1,35739,0.523886,1.17144
VHD-Dynamic,matrix,random,write,1048576,32,5,345.465,22.0525,345.465,22.0525,88940.9,7285.56,167903,39675.8,185678,61851,1.149,0.415157
VHD-Dynamic,matrix,sequential,read,4096,1,5,18986.6,1680.24,74.1666,6.56342,46.3,0.479583,146.76,27.9475,2683.22,1865.18,11.2099,1.77132
VHD-Dynamic,matrix,sequential,read,4096,32,5,79717.2,5107.81,311.395,19.9524,335.2,3.54753,1473.88,146.673,2786.92,929.004,30.3952,5.45508
VHD-Dynamic,matrix,sequential,read,65536,1,5,5699.34,407.765,356.209,25.4853,158.74,4.30035,362.82,110.569,2250.2,956.199,6.22306,3.93282
VHD-Dynamic,matrix,sequential,read,65536,32,5,8297.46,42.5131,518.591,2.65707,3783.48,4.15897,5399.52,323.674,8175.58,2666.33,7.59834,3.61756
VHD-Dynamic,matrix,sequential,read,1048576,1,5,496.549,10.7938,496.549,10.7938,1982.8,22.6487,2513.72,710.096,6373.82,1698.54,0.902175,0.619708
VHD-Dynamic,matrix,sequential,read,1048576,32,5,532.818,1.06002,532.818,1.06002,59815.5,48.4876,62289.4,879.27,65115.4,2533.19,0.650421,0.3636
VHD-Dynamic,matrix,sequential,write,4096,1,5,17757.4,1533.25,69.365,5.98926,49.84,0.622896,152.1,32.7508,3474.14,1871.31,12.047,2.97856
VHD-Dynamic,matrix,sequential,write,4096,32,5,73438.5,4263.54,286.869,16.6544,392.02,1.17346,1211.24,635.916,2423.26,1096.32,29.4484,7.42387
