format,phase,pattern,iotype,block_size,qd,user_ops,vhdmp_start_io,vhdmp_complete_io,vhdmp_other,amplification,duration_sec
VHDX-Dynamic-Parent,prefill,sequential,write,1048576,4,2048,0,0,0,0,5.86329
VHD-Fixed,matrix,sequential,write,4096,1,65536,0,0,0,0,4.02663
VHD-Fixed,matrix,sequential,read,4096,1,65536,0,0,0,0,3.51775
VHD-Fixed,matrix,random,write,4096,1,65536,0,0,0,0,4.70157
VHD-Fixed,matrix,random,read,4096,1,65536,0,0,0,0,7.66792
VHD-Fixed,matrix,sequential,write,4096,32,65536,0,0,0,0,0.987149
VHD-Fixed,matrix,sequential,read,4096,32,65536,0,0,0,0,0.879825
VHD-Fixed,matrix,random,write,4096,32,65536,0,0,0,0,0.84392
VHD-Fixed,matrix,random,read,4096,32,65536,0,0,0,0,0.759173
VHD-Fixed,matrix,sequential,write,65536,1,4096,0,0,0,0,0.838276
VHD-Fixed,matrix,sequential,read,65536,1,4096,0,0,0,0,0.721613
VHD-Fixed,matrix,random,write,65536,1,4096,0,0,0,0,0.76988
VHD-Fixed,matrix,random,read,65536,1,4096,0,0,0,0,1.04963
VHD-Fixed,matrix,sequential,write,65536,32,4096,0,0,0,0,0.83713
VHD-Fixed,matrix,sequential,read,65536,32,4096,0,0,0,0,0.692414
VHD-Fixed,matrix,random,write,65536,32,4096,0,0,0,0,0.955291
VHD-Fixed,matrix,random,read,65536,32,4096,0,0,0,0,0.551552
VHD-Fixed,matrix,sequential,write,1048576,1,1024,0,0,0,0,3.41095
VHD-Fixed,matrix,sequential,read,1048576,1,1024,0,0,0,0,3.04454
VHD-Fixed,matrix,random,write,1048576,1,1024,0,0,0,0,3.1712
VHD-Fixed,matrix,random,read,1048576,1,1024,0,0,0,0,2.50463
VHD-Fixed,matrix,sequential,write,1048576,32,1024,0,0,0,0,2.85915
VHD-Fixed,matrix,sequential,read,1048576,32,1024,0,0,0,0,1.91944
VHD-Fixed,matrix,random,write,1048576,32,1024,0,0,0,0,2.68306
VHD-Fixed,matrix,random,read,1048576,32,1024,0,0,0,0,1.9306
VHD-Fixed,mixed_rw70,random,mixed,4096,32,320076,0,0,0,0,5.00033
VHD-Fixed,mixed_rw70,random,mixed,65536,32,32350,0,0,0,0,5.006
VHD-Fixed,hotspot,random,read,4096,32,414637,0,0,0,0,5.00071
VHD-Fixed,hotspot,random,read,65536,32,41616,0,0,0,0,5.00376
VHD-Fixed,stride,sequential,read,4096,1,36867,0,0,0,0,5.00006
VHD-Fixed,stride,sequential,read,4096,32,228113,0,0,0,0,5.00069
VHD-Fixed,rewrite,sequential,write,4096,32,335457,0,0,0,0,5.00054
VHD-Dynamic,first_write,sequential,write,4096,1,2048,0,0,0,0,6.30975
VHD-Dynamic,prealloc,sequential,write,1048576,4,2048,0,0,0,0,5.5898
VHD-Dynamic,matrix,sequential,write,4096,1,65536,0,0,0,0,3.77585
VHD-Dynamic,matrix,sequential,read,4096,1,65536,0,0,0,0,3.57257
VHD-Dynamic,matrix,random,write,4096,1,65536,0,0,0,0,3.77743
VHD-Dynamic,matrix,random,read,4096,1,65536,0,0,0,0,7.01411
VHD-Dynamic,matrix,sequential,write,4096,32,65536,0,0,0,0,0.88676
VHD-Dynamic,matrix,sequential,read,4096,32,65536,0,0,0,0,0.792547
VHD-Dynamic,matrix,random,write,4096,32,65536,0,0,0,0,0.993474
VHD-Dynamic,matrix,random,read,4096,32,65536,0,0,0,0,0.773328
VHD-Dynamic,matrix,sequential,write,65536,1,4096,0,0,0,0,0.790236
VHD-Dynamic,matrix,sequential,read,65536,1,4096,0,0,0,0,0.740969
VHD-Dynamic,matrix,random,write,65536,1,4096,0,0,0,0,0.778012
VHD-Dynamic,matrix,random,read,65536,1,4096,0,0,0,0,1.0894
VHD-Dynamic,matrix,sequential,write,65536,32,4096,0,0,0,0,0.675305
VHD-Dynamic,matrix,sequential,read,65536,32,4096,0,0,0,0,0.497917
VHD-Dynamic,matrix,random,write,65536,32,4096,0,0,0,0,0.680888
VHD-Dynamic,matrix,random,read,65536,32,4096,0,0,0,0,0.503888
VHD-Dynamic,matrix,sequential,write,1048576,1,1024,0,0,0,0,2.79214
VHD-Dynamic,matrix,sequential,read,1048576,1,1024,0,0,0,0,2.06136
VHD-Dynamic,matrix,random,write,1048576,1,1024,0,0,0,0,2.8463
VHD-Dynamic,matrix,random,read,1048576,1,1024,0,0,0,0,2.22264
VHD-Dynamic,matrix,sequential,write,1048576,32,1024,0,0,0,0,2.70517
VHD-Dynamic,matrix,sequential,read,1048576,32,1024,0,0,0,0,1.92195
VHD-Dynamic,matrix,random,write,1048576,32,1024,0,0,0,0,2.81047
VHD-Dynamic,matrix,random,read,1048576,32,1024,0,0,0,0,1.92114
VHD-Dynamic,mixed_rw70,random,mixed,4096,32,332991,0,0,0,0,5.00034
VHD-Dynamic,mixed_rw70,random,mixed,65536,32,31151,0,0,0,0,5.00481
VHD-Dynamic,hotspot,random,read,4096,32,418816,0,0,0,0,5.00041
VHD-Dynamic,hotspot,random,read,65536,32,41622,0,0,0,0,5.00367
VHD-Dynamic,stride,sequential,read,4096,1,37262,0,0,0,0,5.00004
VHD-Dynamic,stride,sequential,read,4096,32,249831,0,0,0,0,5.0013
VHD-Dynamic,rewrite,sequential,write,4096,32,315111,0,0,0,0,5.00038
VHDX-Fixed,matrix,sequential,write,4096,1,65536,0,0,0,0,4.16505
VHDX-Fixed,matrix,sequential,read,4096,1,65536,0,0,0,0,3.97022
VHDX-Fixed,matrix,random,write,4096,1,65536,0,0,0,0,4.31311
VHDX-Fixed,matrix,random,read,4096,1,65536,0,0,0,0,7.99212
VHDX-Fixed,matrix,sequential,write,4096,32,65536,0,0,0,0,1.03944
VHDX-Fixed,matrix,sequential,read,4096,32,65536,0,0,0,0,0.863234
VHDX-Fixed,matrix,random,write,4096,32,65536,0,0,0,0,0.911126
VHDX-Fixed,matrix,random,read,4096,32,65536,0,0,0,0,0.827488
VHDX-Fixed,matrix,sequential,write,65536,1,4096,0,0,0,0,0.888467
VHDX-Fixed,matrix,sequential,read,65536,1,4096,0,0,0,0,0.826206
VHDX-Fixed,matrix,random,write,65536,1,4096,0,0,0,0,0.908907
VHDX-Fixed,matrix,random,read,65536,1,4096,0,0,0,0,1.27142
VHDX-Fixed,matrix,sequential,write,65536,32,4096,0,0,0,0,0.70092
VHDX-Fixed,matrix,sequential,read,65536,32,4096,0,0,0,0,0.489521
VHDX-Fixed,matrix,random,write,65536,32,4096,0,0,0,0,0.772889
VHDX-Fixed,matrix,random,read,65536,32,4096,0,0,0,0,0.492536
